IDP;NOMBRE;DESCRIPCION;PRECIO
270;SHAMPOO, CLEAR;SHAMPOO DUAL EFFECT 2EN1 CLEAR X 200 CC;46.63
271;SHAMPOO, HERBAL ESSENCE;SHAMPOO HIDRADISIACO HERBAL ESSENCES X 300 CC;45.75
272;SHAMPOO, CLEAR;SHAMPOO ICE COOL MENTHOL MEN CLEAR X 200 CC;46.63
273;SHAMPOO, CLEAR;SHAMPOO SUAVIDAD Y BRILLO CLEAR X 200 CC;46.63
274;TOALLA DEMAQUILLANTE, Q-SOFT;TOALLAS HUMEDA REFRESH QSOFT X 25 UNI;49.9
275;TOALLA DEMAQUILLANTE, Q-SOFT;TOALLAS HUMEDAS ALOE VERA Q-SOFT DP X 50 UNI;25
276;TOALLA DEMAQUILLANTE, Q-SOFT;TOALLITAS DESMAQ HIDRATANTE Q-SOFT X 25 UNI;49.9
277;TOALLA DEMAQUILLANTE, IDEAL;TOALLITAS HUMEDAS CLASICAS DOY PACK IDEAL X 70 UNI;23.9
278;CEPILLO, ORAL B;CEPILLO DENTAL CLASSIC ORAL B X 1 UNI;23.48
279;CHUPETE, BABELITO;Chupete con Tetina de Silicona Anatómica - Talle 1 Babelito x 1 Un;39.4
280;CHUPETE, BABELITO;Chupete con Tetina de Silicona Anatómica - Talle 2 Babelito x 1 Un;41.28
281;CHUPETE, BABELITO;Chupete con Tetina de Silicona Anatómica - Talle 3 Babelito x 1 Un;41.28
282;ARROZ, DOS HERMANOS;ARROZ INTEGRAL DOS HERMANOS X 1 KG;17.98
283;ARROZ, MOLINOS ALA;ARROZ LARGO FINO 00000 MOLINOS ALA BOLSA X 500 GRS;9.4
284;CONSERVAS, ARCOR;CHOCLO EN GRANOS AMARILLO ARCOR LATA X 300 GRS;17.6
285;HARINA DE MAIZ, CARREFOUR;POLENTA INSTANTANEA CARREFOUR X 500 GRS;11.97
286;HARINAS, CANUELAS;HARINA DE TRIGO 000 CANUELAS X 1 KG;7.72
287;HARINAS, BLANCAFLOR;HARINA DE TRIGO 0000 FORTIFIC BLANCAFLOR X 1 K;13.39
288;MAYONESA, LA CAMPAGNOLA;MAYONESA LIGHT BC LA CAMPAGNOLA DOY PACK X500G;19.5
289;PAN RALLADO, MAMA COCINA;PAN RALLADO FORTIFICADO MAMA COCINA X 1 KG;36.08
290;PASTAS SECAS, MANERA;FIDEOS MOSTACHOLES MANERA X 500 GRS;10.35
291;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS GUISEROS MOSTACHOL BONANZA X 500G;10.49
292;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS GUISEROS TIRABUZON BONANZA X 500G;12.59
293;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS LARGOS SPAGHETTI BONANZA X 500 GR;10.49
294;PASTAS SECAS, FAVORITA;FIDEOS TALLARIN FORTIFICADO FAVORITA X 500 GRS;9.99
295;SAL, DOS ANCLAS;SAL ENTREFINA DOS ANCLAS ESTUCHE X 500 GRS;8.32
296;SAL, DOS ANCLAS;SAL FINA LIGHT DOS ANCLAS ESTUCHE X 500 GRS;59.43
297;VINAGRE, DOS ANCLAS;VINAGRE  VINO  DOS ANCLAS  X 500 CC;15.38
298;AGUAS, CARREFOUR;AGUA MINERAL SIN GAS BAJO SODIO CARREFOUR X 2 LT;11.46
299;GASEOSAS, PEPSI;GASEOSA COLA LIGHT PEPSI PET X 1.5 LT;22
300;GASEOSAS, LIMIT;GASEOSA COLA REGULAR LIMIT X 2.25 LT;16.67
301;GASEOSAS, COCA COLA;GASEOSA COLA ZERO COCA COLA PET X 1.5 LT;24.5
302;GASEOSAS, LIMIT;GASEOSA LIMA LIMON REGULAR LIMIT 2.25 LT;16.67
303;GASEOSAS, SPRITE;GASEOSA LIMA LIMON ZERO SPRITE PET X 1.5 LT;24.5
304;GASEOSAS, FANTA;GASEOSA NARANJA ZERO VITAMINA C FANTA PET X 1.5 LT;24.5
305;GASEOSAS, SCHWEPPES;GASEOSA POMELO ZERO SCHWEPPES PET X 1.5 LT;24.5
306;JUGO CONCENTRADO, CARIOCA;JUGO CONCENTRADO NARANJA CARIOCA X 1.5 LT;12.25
307;JUGOS EN POLVO, BC LA CAMPAGNOLA;JUGO EN POLVO MANZANA BC LA CAMPAGNOLA X 8.5 GRS;2.86
308;JUGOS EN POLVO, VERAO;JUGO EN POLVO MANZANA VERAO X 10 GRS;2.75
309;JUGOS EN POLVO, VERAO;JUGO EN POLVO NARANJA VERAO X 10 GRS;2.75
310;JUGOS NATURALES, BC LA CAMPAGNOLA;JUGO NATURAL NARANJA BC X 1 LT;22.7
311;AZUCAR, DOMINO;AZUCAR BLANCA MOLIDA DOMINO X 1000 GRS;13.99
312;AZUCAR, LEDESMA;AZUCAR MOLIDA CLASICA LEDESMA BOLSA X 1 KG;17.12
313;AZUCAR, CHANGO;AZUCAR TIPO A BOLSA CHANGO X 1000 GRS;17.12
314;DULCE DE LECHE, CASANTO;DULCE DE LECHE CASANTO POTE 400 GRS;23.93
315;ENDULZANTES, TUY;EDULCORANTE SOBRES C/ASPARTAMO TUY CAJA X 100 UNI;29.85
316;GALLETAS DULCES, MACUCAS;GALLETITAS CHOCOLATE RELL VAINI MACUCAS X 123 GRS;8.16
317;GALLETAS DULCES, TERRABUSI;GALLETITAS ROCOCO TERRABUSI X 160 GRS;18.36
318;INFUSION TE, TARAGUI;TE FILTRO ESPECIAL S/ENS. SAQ. TARAGUI X 25 UNI;9.09
319;INFUSION YERBA, UNION;YERBA MATE BCP ORIGEN CONTROLADO UNION X 500 GRS;27.39
320;INFUSION YERBA, LA TRANQUERA;YERBA MATE C/PALO SEL ESPEC LA TRANQUERA X 500GRS;27.17
321;INFUSION YERBA, AMANDA;YERBA MATE CAMPO AMANDA X 1 KG;55.3
322;INFUSION YERBA, AMANDA;YERBA MATE CON PALO AMANDA X 1 KG;48.93
323;INFUSION YERBA, ROSAMONTE;YERBA MATE CON PALO JUNIOR ROSAMONTE X 500 GRS;28.1
324;LECHE LARGA VIDA, LA LACTEO;LECHE DESC UAT C/CAL LA LACTEO X 1 L;20.68
325;LECHE LARGA VIDA, CARREFOUR;LECHE ENTERA UAT CARREFOUR X 1000 CC;20.29
326;LECHE LARGA VIDA, VERONICA;LECHE ENTERA UAT VERONICA X 1L;20.29
327;LECHE LARGA VIDA, LA LACTEO;LECHE ENTERA UAT LA LACTEO X 1 L;20.68
328;MATE COCIDO, CACHAMATE;MATE COCIDO CACHAMATE X 25 UNI;11.98
329;MERMELADA, ARCOR;MERMELADA DE DURAZNO LIGHT ARCOR FRASCO X 390 GRS;30.44
330;HAMBURGUESA, PATY;HAMBURGUESA CONGELADA EXPRESS PATY X 4 UNI;35.7
331;HAMBURGUESA, SWIFT;MEDALLON DE CARNE SUPERCONGELADO SWIFT X 4 UNI;35.08
332;LECHE CHOCOLATADA, MILKAUT;LECHE CHOCOLATADA UAT MILKAUT X 1L;22.93
333;LECHE SACHET, ARMONIA;LECHE DESCREMADA ULTRA ARMONIA SACHET X 1L;15.95
334;LECHE SACHET, ARMONIA;LECHE ENTERA ULTRA ARMONIA SACHET X 1L;15.95
335;POSTRE LACTEO, SER;FLAN DE VAINILLA SER PACK X 2 U;14.13
336;POSTRE LACTEO, SERENITO;FLAN FORTIFICADO VAINILLA SERENITO X 210 GRS;14.13
337;POSTRE LACTEO, DANETTE;FLAN VAINILLA CON CARAMELO DANETTE X 2 U;14.13
338;POSTRE LACTEO, ROYAL;MOUSEE CHOCOLATE MANJARES LIGHT ROYAL X 40 GRS;11.63
339;POSTRE LACTEO, ROYAL;MOUSSE DULCE DE LECHE LIGHT ROYAL X 30 GRS;11.63
340;POSTRE LACTEO, SHIMY;POSTRE CHOCOLATE  SHIMY X 120 GRS;8.56
341;POSTRE LACTEO, SHIMY;POSTRE CHOCOLATE C/DD LECHE SHIMY X 120 GRS;8.56
342;POSTRE LACTEO, SHIMY;POSTRE DULCE DE LECHE SHIMY X 120 GRS;8.56
343;POSTRE LACTEO, SHIMY;POSTRE VAINILLA C/DD LECHE SHIMY X 120 GRS;8.56
344;POSTRE LACTEO, SHIMY;POSTRE VAINILLA SHIMY X 120 GRS;8.56
345;QUESO CREMA, CASANCREM;QUESO CREMA CLASICO CASANCREM X 500 GRS;56.68
346;QUESO CREMA, CASANCREM;QUESO CREMA LIGHT CASANCREM X 500 GRS;55.27
347;SALCHICHAS, LA BLANCA;SALCHICHAS SIN PIEL LA BLANCA X 6 U;15.82
348;TAPA DE TARTA PASCUALIN, LA SALTENA;TAPA PASCUALINA LIGHT LA SALTENA 2 X 400 GRS;32.55
349;MATA MOSCAS, MOSQUI TRAP;MATA MOSCAS Y MOSQUITOS AERO MOSQUI TRAP X400CC;31.6
350;POLILLAS, IBERIA;NAFTALINA REFINADA MAXIMA PUREZA IBERIA X 200G;58.9
351;TABLETAS, FUYI;TABLETAS MATA MOSCAS-MOSQUITOS FUYI X 16 UNI;24.91
352;ABSORBE HUMEDAD, AIRE PUR;ANTIHUMEDAD DESOD LAVA RTO 2EN1 AIRE PUR X350GRS;90.75
353;ABSORBE HUMEDAD, AIRE PUR;ANTIHUMEDAD DESOD LAVANDA 2EN1 AIRE PUR X 75 G;66.7
354;ESPONJAS Y PANOS, VIRULANA;FIBRA ESPONJA LISA VIRULANA X 1 UNI;6.59
355;LAVANDINA, AYUDIN;LAVANDINA CONCENTRADA AYUDIN X 1 LT;11.55
356;LIQUIDO, ACE;JABON LIQUIDO ROPA C/SUAVIZANTE RELAX ACE X 800 CC;53.55
357;ALCOHOL ETILICO, PUROCOL;ALCOHOL ETILICO 96 MF X 500 CC;20.59
358;CREMA CORPORAL, NIVEA;CREMA CORPORAL SOFT MILK C/KARITE NIVEA X 250 CC;49.28
359;DESODORANTES, NIVEA;ANTITRANSPIRTANTE FEM DRY NIVEA X 150 CC;38.2
360;PAÑUELOS, CAMPANITA;PANUELOS DESCARTABLES BOX CAMPANITA X 75 UNI;8.6
361;PASTA DENTAL, KOLYNOS;CREMA DENTAL TRIPLE 1 2 3 KOLYNOS X 90 GRS;11.35
362;PRESERVATIVOS, TULIPAN;PRESERVATIVOS CLASSIC TULIPAN X 6 UNI;33.3
363;PRESERVATIVOS, TULIPAN;PRESERVATIVOS SUPER FINO TULIPAN X 6 UNI;33.3
364;REPELENTES, OFF;REPELENTE EN CREMA OFF X 200 GRS;43.99
365;ACEITES, CANUELAS;ACEITE DE GIRASOL ALTO OLEICO CANUELAS PET X 1 LT;36.23
366;ACEITES, CANUELAS;ACEITE GIRASOL CANUELAS PET X 900 CC.;27.95
367;ADEREZOS, LA PARMESANA;MEZCLA DE SEMILLAS LA PARMESANA X 100 GRS;22.99
368;ADEREZOS, LA PARMESANA;SEMILLAS DE CHIA LA PARMESANA X 100 GRS;15.3
369;ADEREZOS, LA PARMESANA;SEMILLAS DE QUINOA LA PARMESANA X 100 GRS;57.25
370;ARROZ, DOS HERMANOS;ARROZ INTEGRAL DOS HERMANOS X 1 KG;18.61
371;ARROZ, MOLINOS ALA;ARROZ LARGO FINO 00000 MOLINOS ALA BOLSA X 500 GRS;9.73
372;CONDIMENTOS, LA PARMESANA;OREGANO LA PARMESANA SOBRE X 25 GRS;19.99
373;CONSERVAS, ARCOR;ARVEJAS SECAS REMOJADAS ARCOR LATA X 300 GRS;11.51
374;CONSERVAS, MARECHIARE;ATUN AL NATURAL MARECHIARE LATA X 170 GRS;40.88
375;CONSERVAS, PENNISI;ATUN AL NATURAL PENNISI X 170 GRS;40.88
376;CONSERVAS, MARECHIARE;ATUN EN ACEITE MARECHIARE LATA X 170 GRS;40.88
377;CONSERVAS, PENNISI;ATUN EN ACEITE PENNISI X 170 GRS;40.88
378;CONSERVAS, MARECHIARE;CABALLA AL NATURAL MARECHIARE LATA X 380 GRS;36.74
379;CONSERVAS, PENNISI;CABALLA AL NATURAL PENNISI X 380 GRS;36.74
380;CONSERVAS, MARECHIARE;CABALLA EN ACEITE MARECHIARE LATA X 380 GRS;38.3
381;CONSERVAS, PENNISI;CABALLA EN ACEITE PENNISI X 380 GRS;38.3
382;CONSERVAS, ARCOR;CHOCLO EN GRANOS AMARILLO ARCOR LATA X 300 GRS;18.21
383;CONSERVAS, INALPA;LENTEJAS SECAS REMOJADAS INALPA LATA X 350 GRS;17.58
384;CONSERVAS, MARECHIARE;MERLUZA EN ACEITE MARECHIARE LATA X 380 GRS;28.98
385;CONSERVAS, PENNISI;MERLUZA EN ACEITE PENNISI LATA X 380 GRS;30.53
386;CONSERVAS, LA PARMESANA;SALSA PESTO DESHIDRATADA LA PARMESANA X 20 GRS;23
387;CONSERVAS, SALSATI;SALSA POMAROLA SALSATI DP X 340 GRS;15.6
388;HARINA DE MAIZ, CARREFOUR;POLENTA INSTANTANEA CARREFOUR X 500 GRS;12.39
389;HARINA DE MAIZ, DEL CAMPO;POLENTA INSTANTANEA DEL CAMPO X 500 GRS;11.26
390;HARINAS, CANUELAS;HARINA DE TRIGO 000 CANUELAS X 1 KG;7.99
391;HARINAS, CASERITA;HARINA DE TRIGO 000 CASERITA X 1 KG;11.59
392;HARINAS, BLANCAFLOR;HARINA DE TRIGO 0000 FORTIFIC BLANCAFLOR X 1 K;13.86
393;MAYONESA, LA CAMPAGNOLA;MAYONESA LIGHT BC LA CAMPAGNOLA DOY PACK X500G;20.18
394;PAN DE MESA, BIMBO;PAN ARABE BLANCO BIMBO X 230 GRS;32.09
395;PAN DE MESA, FARGO;PAN DE SALVADO DOBLE SIN SAL FARGO X 400 GRS;29.24
396;PAN DE MESA, LACTAL;PAN RODAJAS FINAS LACTAL X 380 GRS;23.85
397;PAN RALLADO, MAMA COCINA;PAN RALLADO FORTIFICADO MAMA COCINA X 1 KG;37.34
398;PAN RALLADO, CASERITA;PAN RALLADO VITA K CASERITA X 1 KG;37.1
399;PASTAS SECAS, FAVORITA;FIDEOS CODITOS RAYADOS FORTIFIC FAVORITA X500GRS;10.34
400;PASTAS SECAS, MANERA;FIDEOS MOSTACHOLES MANERA X 500 GRS;10.71
401;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS GUISEROS MOSTACHOL BONANZA X 500G;10.49
402;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS GUISEROS TIRABUZON BONANZA X 500G;12.59
403;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS LARGOS SPAGHETTI BONANZA X 500 GR;10.49
404;PASTAS SECAS, FAVORITA;FIDEOS TALLARIN FORTIFICADO FAVORITA X 500 GRS;10.34
405;PASTAS SECAS, MANERA;FIDEOS TALLARINES MANERA X 500 GRS.;10.71
406;PREMEZCLAS, GODET;BIZCOCHUELO VAINILLA GODET X 480 GRS;24.79
407;PREMEZCLAS, LA CAMPAGNOLA;GELATINA CEREZA BC LA CAMPAGNOLA CAJA X 30 G;12.55
408;SAL, LA PARMESANA;SAL DIETETICA LA PARMESANA X 75 GRS;39.99
409;SAL, LA PARMESANA;SAL DIETETICA SABOR APIO LA PARMESANA X 75 GRS;39.99
410;SAL, LA PARMESANA;SAL DIETETICA SABOR CEBOLLA LA PARMESANA X 75 GRS;39.99
411;SAL, LA PARMESANA;SAL DIETETICA SABORIZADA AJO LA PARMESANA X 75 GRS;39.99
412;SAL, DOS ANCLAS;SAL ENTREFINA DOS ANCLAS ESTUCHE X 500 GRS;8.61
413;SAL, DOS ANCLAS;SAL FINA LIGHT DOS ANCLAS ESTUCHE X 500 GRS;61.51
414;VINAGRE, DOS ANCLAS;VINAGRE  VINO  DOS ANCLAS  X 500 CC;15.92
415;AGUAS, KIN;AGUA MINERAL SIN GAS KIN BIDON X 6 LT;32.91
416;AGUAS, CARREFOUR;AGUA MINERAL SIN GAS BAJO SODIO CARREFOUR X 2 LT;11.86
417;AGUAS, KIN;AGUA MINERAL SIN GAS KIN PET X 2 LT;13.04
418;AGUAS, KIN;AGUA MINERAL SIN GAS KIN PET X 2.25 LT;13.04
419;AGUAS, KIN;SODA KIN BOTELLA X 2 LT;13.04
420;AGUAS SABORIZADA, FAVALORO;AGUA SABOR NARANJA CELLIER FAVALORO X1.5LT;13.46
421;AGUAS SABORIZADA, H2OH!;AGUA SABORIZADA MARACUYA CON GAS H2OH X 1.5 LT;22.67
422;AGUAS SABORIZADA, H2OH!;AGUA SABORIZADA NARANCHELO PET H2OH X 1.5 LT;22.67
423;AGUAS SABORIZADA, CARREFOUR;AGUA SABORIZADA NRNJ-DRZN C/GAS CARREFOUR X 1.5 LT;13.46
424;GASEOSAS, PEPSI;GASEOSA COLA LIGHT PEPSI PET X 1.5 LT;22.77
425;GASEOSAS, CUNNINGTON;GASEOSA COLA REGULAR CUNNINGTON PET X 2.25 LT;22.55
426;GASEOSAS, LIMIT;GASEOSA COLA REGULAR LIMIT X 2.25 LT;17.25
427;GASEOSAS, COCA COLA;GASEOSA COLA ZERO COCA COLA PET X 1.5 LT;25.36
428;GASEOSAS, CUNNINGTON;GASEOSA LIMA LIMON REGULAR CUNNINGTON PET X 2.25 L;22.55
429;GASEOSAS, LIMIT;GASEOSA LIMA LIMON REGULAR LIMIT 2.25 LT;17.25
430;GASEOSAS, SPRITE;GASEOSA LIMA LIMON ZERO SPRITE PET X 1.5 LT;25.36
431;GASEOSAS, MIRINDA;GASEOSA NARANJA REGULAR MIRINDA PET X 1.5 LT;20.08
432;GASEOSAS, FANTA;GASEOSA NARANJA ZERO VITAMINA C FANTA PET X 1.5 LT;25.36
433;GASEOSAS, SCHWEPPES;GASEOSA POMELO ZERO SCHWEPPES PET X 1.5 LT;25.36
434;GASEOSAS, ANTARTICA;GASEOSA SABOR GUARANA ZERO ANTARTICA X 1.5 LT;22.77
435;JUGO CONCENTRADO, CARIOCA;JUGO CONCENTRADO NARANJA CARIOCA X 1.5 LT;12.68
436;JUGOS EN POLVO, VERAO;JUGO EN POLVO ANANA VERAO X 10 GRS;2.75
437;JUGOS EN POLVO, BC LA CAMPAGNOLA;JUGO EN POLVO MANZANA BC LA CAMPAGNOLA X 8.5 GRS;2.96
438;JUGOS EN POLVO, VERAO;JUGO EN POLVO MANZANA VERAO X 10 GRS;2.75
439;JUGOS EN POLVO, VERAO;JUGO EN POLVO NARANJA DURAZNO VERAO X 10 GRS;2.75
440;JUGOS EN POLVO, VERAO;JUGO EN POLVO NARANJA VERAO X 10 GRS;2.75
441;JUGOS NATURALES, BC LA CAMPAGNOLA;JUGO NATURAL NARANJA BC X 1 LT;23.5
442;AZUCAR, DOMINO;AZUCAR BLANCA MOLIDA DOMINO X 1000 GRS;14.48
443;AZUCAR, LEDESMA;AZUCAR MOLIDA CLASICA LEDESMA BOLSA X 1 KG;17.72
444;AZUCAR, CHANGO;AZUCAR TIPO A BOLSA CHANGO X 1000 GRS;17.72
445;CACAO, ARCOR;CACAO EN POLVO ARCOR BOLSA X 360 GRS;21.35
446;DULCE DE LECHE, CASANTO;DULCE DE LECHE CASANTO POTE 400 GRS;24.76
447;GALLETAS AGUA, OKEBON;GALLETITAS 10 SEMILLAS OKEBON X 225 GRS;26.49
448;GALLETAS AGUA, PASEO;GALLETITAS MINI CRACKERS 5 SEMILLAS PASEOX150G;16.63
449;GALLETAS AGUA, PASEO;GALLETITAS MINI CRACKERS PASEO X 150 GRS;12.15
450;GALLETAS AGUA, PASEO;GALLETITAS MINI CRACKERS SALVADO PASEO X150GRS;16.63
451;GALLETAS AGUA, PASEO;GALLETITAS MINI CRACKERS SESAMO PASEO X 150GRS;16.63
452;GALLETAS DULCES, OKEBON;GALLETITAS CHISPAS CHOCO BLANCO OKEBON X 145 GRS;14.99
453;GALLETAS DULCES, OKEBON;GALLETITAS CHISPAS CHOCOLATE OKEBON X 145 GRS;14.99
454;GALLETAS DULCES, MACUCAS;GALLETITAS CHOCOLATE RELL VAINI MACUCAS X 123 GRS;8.45
455;GALLETAS DULCES, TERRABUSI;GALLETITAS ROCOCO TERRABUSI X 160 GRS;18.36
456;GALLETAS DULCES, VOCACION;GALLETITAS VAINILLA CLASICAS VOCACION 3 X 155 GRS;18.7
457;GALLETAS DULCES, OKEBON;GALLETITAS VAINILLA PANAL FORTI PLUS OKEBON X 280G;19.35
458;INFUSION TE, LA MORENITA;TE EN SAQUITOS RAPIDA INFUSION LA MORENITA X 25 UN;9.21
459;INFUSION TE, ROSAMONTE;TE EN SAQUITOS ROSAMONTE X 25 UNI;8.87
460;INFUSION TE, LA TRANQUERA;TE EN SAQUITOS SIN SOBRE LA TRANQUERA X 50 UNI;19.65
461;INFUSION TE, TARAGUI;TE FILTRO ESPECIAL S/ENS. SAQ. TARAGUI X 25 UNI;9.41
462;INFUSION YERBA, ROMANCE;YERBA MATE  ROSAMONTE JUNIOR  1 KL;58.07
463;INFUSION YERBA, UNION;YERBA MATE BCP ORIGEN CONTROLADO UNION X 500 GRS;28.35
464;INFUSION YERBA, LA TRANQUERA;YERBA MATE C/PALO SEL ESPEC LA TRANQUERA X 1 KG;51.42
465;INFUSION YERBA, LA TRANQUERA;YERBA MATE C/PALO SEL ESPEC LA TRANQUERA X 500GRS;28.12
466;INFUSION YERBA, AMANDA;YERBA MATE CAMPO AMANDA X 1 KG;57.24
467;INFUSION YERBA, MANANITA;YERBA MATE CAMPO Y MONTE MANANITA X 1 KG;49.64
468;INFUSION YERBA, AMANDA;YERBA MATE CON PALO AMANDA X 1 KG;50.64
469;INFUSION YERBA, ROSAMONTE;YERBA MATE CON PALO JUNIOR ROSAMONTE X 500 GRS;28.1
470;INFUSION YERBA, ROMANCE;YERBA MATE CON PALO ROMANCE X 1 KG;50.66
471;INFUSION YERBA, TARAGUI;YERBA MATE LIVIANA TARAGUI X 1 KG;55.78
472;INFUSION YERBA, NOBLEZA GAUCHA;YERBA MATE SUAVE NOBLEZA GAUCHA X 500 GRS;26.4
473;INFUSION YERBA, ROMANCE;YERBA MATE SUAVE ROMANCE X 1KG;57.24
474;LECHE EN POLVO, PURISIMA;LECHE EN POLVO ENTERA PURISIMA CJ X 400 GRS;52.03
475;LECHE LARGA VIDA, LA LACTEO;LECHE DESC UAT C/CAL LA LACTEO X 1 L;21.4
476;LECHE LARGA VIDA, CARREFOUR;LECHE ENTERA UAT CARREFOUR X 1000 CC;21
477;LECHE LARGA VIDA, VERONICA;LECHE ENTERA UAT VERONICA X 1L;21
478;LECHE LARGA VIDA, LA LACTEO;LECHE ENTERA UAT LA LACTEO X 1 L;21.4
479;MATE COCIDO, CACHAMATE;MATE COCIDO CACHAMATE X 25 UNI;12.4
480;MERMELADA, DULCOR;MERMELADA DE DURAZNO DULCOR FRASCO X 454 GRS;21.86
481;MERMELADA, ARCOR;MERMELADA DE DURAZNO LIGHT ARCOR FRASCO X 390 GRS;31.51
482;CARNE VACUNA, ;ESPINAZO;28.16
483;CARNE VACUNA, ;PALETA;112.96
484;CARNE VACUNA, ;PICADA COMÚN;53.03
485;CARNE VACUNA, ;ROAST BEEF;99.38
486;CARNE VACUNA, ;TAPA DE ASADO;100.51
487;PANADERIA, ;PAN FRESCO;29.5
488;FRUTAS, ;MANZANA;22.77
489;VERDURAS, ;CEBOLLA;14.39
490;VERDURAS, ;Lechuga x 1 Kg;25.77
491;VERDURAS, ;PAPA;10.76
492;VERDURAS, ;Zanahoria x 1 Kg;19.98
493;HAMBURGUESA, PATY;HAMBURGUESA CONGELADA EXPRESS PATY X 4 UNI;35.7
494;HAMBURGUESA, SWIFT;MEDALLON DE CARNE SUPERCONGELADO SWIFT X 4 UNI;35.08
495;LECHE CHOCOLATADA, 7DIAS;LECHE CHOCOLATADA 7 DIAS X 200 CC;7.98
496;LECHE CHOCOLATADA, MILKAUT;LECHE CHOCOLATADA UAT MILKAUT X 1L;23.73
497;LECHE SACHET, ARMONIA;LECHE DESCREMADA ULTRA ARMONIA SACHET X 1L;16.51
498;LECHE SACHET, ARMONIA;LECHE ENTERA ULTRA ARMONIA SACHET X 1L;16.51
499;POSTRE LACTEO, SER;FLAN DE VAINILLA SER PACK X 2 U;14.62
500;POSTRE LACTEO, SERENITO;FLAN FORTIFICADO VAINILLA SERENITO X 210 GRS;14.62
501;POSTRE LACTEO, DANETTE;FLAN VAINILLA CON CARAMELO DANETTE X 2 U;14.62
502;POSTRE LACTEO, ROYAL;MOUSEE CHOCOLATE MANJARES LIGHT ROYAL X 40 GRS;11.63
503;POSTRE LACTEO, ROYAL;MOUSSE DULCE DE LECHE LIGHT ROYAL X 30 GRS;11.63
504;POSTRE LACTEO, SHIMY;POSTRE CHOCOLATE  SHIMY X 120 GRS;8.86
505;POSTRE LACTEO, SHIMY;POSTRE CHOCOLATE C/DD LECHE SHIMY X 120 GRS;8.86
506;POSTRE LACTEO, SHIMY;POSTRE DULCE DE LECHE SHIMY X 120 GRS;8.86
507;POSTRE LACTEO, DANETTE;POSTRE FLAN DULCE DE LECHE DANETTE X 2 UNI;14.62
508;POSTRE LACTEO, SHIMY;POSTRE VAINILLA C/DD LECHE SHIMY X 120 GRS;8.86
509;POSTRE LACTEO, SHIMY;POSTRE VAINILLA SHIMY X 120 GRS;8.86
510;QUESO CREMA, CASANCREM;QUESO CREMA CLASICO CASANCREM X 500 GRS;58.66
511;QUESO CREMA, CASANCREM;QUESO CREMA LIGHT CASANCREM X 500 GRS;57.2
512;QUESO CREMA, VERONICA;QUESO UNTABLE VERONICA X 190 GRS;27.63
513;SALCHICHAS, ICB;SALCHICHAS ICB X 6;15.8
514;SALCHICHAS, LA BLANCA;SALCHICHAS SIN PIEL LA BLANCA X 6 U;15.82
515;TAPA DE EMPANADA, FARGO;TAPA P/EMPANADA HORNO FARGO X 16 U;24.43
516;TAPA DE TARTA PASCUALIN, LA SALTENA;TAPA PASCUALINA LIGHT LA SALTENA 2 X 400 GRS;32.55
517;YOGURT, LA SERENISIMA;YOGUR ENT FRUTI FORT YOGURISIMO CREMIX 2 X 120 GRS;20.7
518;YOGURT, LA SERENISIMA;YOGUR ENT VAINI FORT YOGURISIMO CREMIX 2 X 120 GRS;20.7
519;YOGURT, SANCOR;YOGUR ENT. DESC FRUTILLA SANCOR YOGS BOTELLA X 185;15.24
520;YOGURT, SANCOR;YOGUR ENT. DESC VAINILLA SANCOR YOGS BOTELLA X 185;15.24
521;YOGURT, LA SERENISIMA;YOGUR ENTERO FRUTILLA FIRME YOGURISIMO 2 X 125 GRS;20.7
522;YOGURT, LA SERENISIMA;YOGUR ENTERO VAINILLA FIRME YOGURISIMO 2 X 125 GRS;20.7
523;ADHESIVOS, PELIKAN;ADH SINTETICO PELIKAN 50ML;13.91
524;BOLIGRAFO, BIC;BOLIG BIC ROUND STICK SURT X4U;17.86
525;BOLIGRAFO, CARREFOUR;BOLIG CARREFOUR AZUL X4U;13.99
526;BOLIGRAFO, FILGO;BOLIG FILGO STICK 026 AZUL X4U;9.9
527;BOLIGRAFO, FILGO;BOLIG FILGO STICK 026 SURTIDO X4U;9.9
528;BOLIGRAFO, PELIKAN;BOLIG POINTEC AZUL X4U;14.49
529;BOLIGRAFO, FILGO;BOLIG RETRACTIL FILGO REAL GRIP NEGRO;6.9
530;BORRATINTA, FILGO;BORRATINTA JET KILLER X2U;26.1
531;CARTUCHO, FILGO;CARTUCHO FILGO AZUL X6U;8.62
532;CARTUCHO, PELIKAN;CARTUCHO PELIKAN 2 CAJAS X6U C/U;51.34
533;CRAYONES, PELIKAN;CRAYONES SYLVAPEN X12U;26.95
534;CUADERNO, GLORIA / AMERICA;CUAD ARA A 42H RAY AZUL;24.23
535;CUADERNO, GLORIA / AMERICA;CUAD T/F RAYADO 48H 48 HOJAS.;9.14
536;LAPICERA, FILGO;LAPICERA FILGO TINTA GEL BORRAXION;45.85
537;LAPIZ, PELIKAN;L.COLORES PELIKAN X12U;42.28
538;LAPIZ, FILGO;L.GRAFITO FILGO SIGMA FLEX X4U;7.9
